project_name,primary_commodity,status,deposit_type,owner_controller,operator,area_ha,resources_year,location.province,location.country,location.description,location.latitude_dms,location.longitude_dms,location.latitude,location.longitude,technical_economic.since_production,technical_economic.estimated_lom_years,technical_economic.productive_capacity,technical_economic.estimated_annual_production,technical_economic.capex,technical_economic.mining_method,technical_economic.product,by_products,sources_consulted,source_pages,res_Indicated_Ag_MOz,res_Indicated_Ag_g_t,res_Indicated_Au_MOz,res_Indicated_Au_g_t,res_Indicated_Au_kOz,res_Indicated_Cu_MIbs,res_Indicated_Cu_klb,res_Indicated_Cu_kt,res_Indicated_pct_Cu,res_Indicated_pct_Mo,res_Inferred_Ag_MOz,res_Inferred_Ag_g_t,res_Inferred_Ag_kOz,res_Inferred_Au_MOz,res_Inferred_Au_g_t,res_Inferred_Au_kOz,res_Inferred_Cu_Blbs,res_Inferred_Cu_MIbs,res_Inferred_Cu_klb,res_Inferred_Cu_kt,res_Inferred_Mo_kt,res_Inferred_pct_Cu,res_Inferred_pct_Mo,res_M&I_Ag_MOz,res_M&I_Ag_g_t,res_M&I_Ag_kOz,res_M&I_Au_MOz,res_M&I_Au_g_t,res_M&I_Au_kOz,res_M&I_Cu_Blbs,res_M&I_Cu_kt,res_M&I_Mo_kt,res_M&I_pct_Cu,res_M&I_pct_Mo,res_Measured_Ag_MOz,res_Measured_Ag_g_t,res_Measured_Au_MOz,res_Measured_Au_g_t,res_Measured_Au_kOz,res_Measured_Cu_MIbs,res_Measured_Cu_klb,res_Measured_Cu_kt,res_Measured_pct_Cu,res_Measured_pct_Mo,rsv_Gold oxide_Ag_g_t,rsv_Gold oxide_Ag_kOz,rsv_Gold oxide_Au_g_t,rsv_Gold oxide_Au_kOz,rsv_Gold oxide_Cu_kt,rsv_Gold oxide_pct_Cu,rsv_Probable_Ag_g_t,rsv_Probable_Ag_kOz,rsv_Probable_Au_g_t,rsv_Probable_Au_kOz,rsv_Probable_Cu_Blbs,rsv_Probable_Cu_kt,rsv_Probable_Mo_kt,rsv_Probable_pct_Cu,rsv_Probable_pct_Mo,rsv_Proven_Ag_g_t,rsv_Proven_Ag_kOz,rsv_Proven_Au_g_t,rsv_Proven_Au_kOz,rsv_Proven_Cu_Blbs,rsv_Proven_Cu_kt,rsv_Proven_Mo_kt,rsv_Proven_pct_Cu,rsv_Proven_pct_Mo
Vicuña (Josemaria),Copper,Construction,Copper and gold porphyry,Lundin Mining Corp. (50%) BHP Group Corp. (50%) Vicuña Corp.,Lundin Mining Corp. (50%) BHP Group Corp. (50%) Vicuña Corp.,16715,,San Juan,,"Vicuña is a project made up of the Josemaria deposit, an advanced copper project located in the province of San Juan, Argentina; and the Filo del Sol deposit, a copper, gold and silver resource located in the province of San Juan, Argentina, and in the adjacent III Region of Chile. Josemaria project is located the 471 km from the city of San Juan by the current route.",,,,,2030,,,,,Open-Pit,Copper concentrate,Gold | silver | Silver,"Lundin Mining Corp. Vicuña Project | Lundin Mining Corp. Technical Report Presentation February 16, 2026 | Lundin Mining Corp. NI 43-101 Technical report. Vicuña Project, Argentina and Chile. June 2025 | Lundin Mining Corp. Reserves and Resources 2024 | Lundin Mining Corp. Corporate presentation. December 2025",6 | 7 | 8,,,,,,,,,,,,1,22000,,0.11,2500,,,,1515,,0.32,,,1.1,58000,,0.19,9700,,4579,,0.28,,,,,,,,,,,,,,,,,,0.85,22285,0.19,4872,,2205,,0.27,,1.33,8430,0.34,2143,,837,,0.43,
Vicuña (Filo del Sol),Copper,Prefeasibility,High Sulphidation Epithermal,,,14014,,San Juan,,"The Filo del Sol Project is located in the Atacama Region, in northern Chile and in the adjacent province of San Juan, Argentina, 140 kilometers southeast of the city of Copiapó, Chile, and extends to both sides of the border between Argentina and Chile. The average altitudes are from 4,000 to 4,900 m.a.s.l.","28° 29' 41"" S","69° 39' 43"" W",-28.494722,-69.661944,2032,14,,,,Open-Pit,"Copper, gold and silver cathodes, silver in doré and copper concentrates",Gold | silver | Silver,"Lundin Mining Corp. Vicuña Project | Lundin Mining Corp. Technical Report Presentation February 16, 2026 | Lundin Mining Corp. NI 43-101 Technical report. Vicuña Project, Argentina and Chile. June 2025 | Lundin Mining Corp. Reserves and Resources 2024 | Lundin Mining Corp. Corporate presentation. December 2025",9 | 10 | 11 | 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,672000,0.32,26500,9759,0.38,16,133334,0.34,2867,,1007,,0.39,,,,,,,,,,
Cu Pachón,Copper,Feasibility,Copper Porphyry,Glencore Plc.,El Pachón S.A,1004,,San Juan,,"It is located in the province of San Juan, in the department of Calingasta; approximately 300 km west of the city of San Juan and 5 km from the border with Chile. It covers elevations from 3,600 to 4,200 meters above sea level.","31° 44' 38"" S","70° 25' 52"" W",-31.743889,-70.431111,2034,,185 ktpd,,"9,460 MUSD",Open-Pit,"Copper, molybdenum and silver concentrates",Silver | molybdenum | Molybdenum,"Glencore Pachón. Pachón Project. https://www.elpachon.com.ar/ | Glencore. Capital Markets Day. December 3, 2025 | Glencore Pachón. Publications. https://www.glencore.com/publications | Glencore. Resources and Reserves. December 2025",13 | 14 | 15 | 16,,1.9,,,,,,,0.47,0.01,,1.4,,,,,,,,,,0.36,0.01,,,,,,,,,,,,,2.3,,,,,,,0.66,0.01,,,,,,,,,,,,,,,,,,,,,,,,
Cu Los Azules,Copper,Feasibility,"Porphyry, Supergene Copper","McEwen Mining (47,7%), Stellantis (19,4%), Others (32,9%)",Minera Andes Inc.,18000,,San Juan,,"he project is located approximately 80 km west-northwest of the Calingasta town and 6 km east of the border with Chile, at 3,500 m elevation in the Andes Mountains.","31° 4' 53"" S","70° 10' 7"" W",-31.081389,-70.168611,2030,21,"240,000 t/y",,"3,168 MUSD",Open-Pit,Copper cathode,Gold | silver | Silver,"McEwen Inc. Los Azules Project | Canadian National instrument 43-101 Technical Report Feasibility Study Los Azules Copper Project. Nov 7, 2025. | McEwen Inc. Corporate Presentation. December 2025",17 | 18 | 19 | 20,,,,,,,,,,,149.9,,,5.7,,,20,,,,,,,26.6,,,1,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,6754,,,,,,,,,3463,,,,
Mara - Agua Rica,Copper,Feasibility,Copper-Gold-Silver-Molybdenum porphyry system,Glencore Plc.,Minera Agua Rica (Suc. Argentina),15485,,Catamarca,,"It is located in the province of Catamarca, department of Andalgalá, 35 km east of the Bajo de la Alumbrera deposit. It is an area of difficult access, with heights of up to 3,300 m.a.s.l.",,,,,2031,23,204 Average CuEq prod. p.a. (kt),,"4,000 MUSD",Open-Pit,Copper and molybdenum concentrates,Gold | silver | molybdenum | Silver | Molybdenum,"Minera Agua Rica LLC Sucursal Argentina y Minera Alumbrera Limited. Mara project | Glencore. Capital Markets Day. December 3, 2025 | Glencore Pachón. Publications. https://www.glencore.com/publications | Glencore. Resources and Reserves. December 2025 | CIBC World Markets Inc. Valuation report. August 30, 2022",21 | 22 | 23 | 24,,3.3,,0.19,,,,0.44,,0.03,,1.9,,,0.09,,,,,0.29,,,0.03,,,,,,,,,,,,,3.6,,0.27,,,,0.75,,0.03,,,,,,,,,,,,,,,,,,,,,,,,
Cu Taca Taca,Copper,Feasibility,Porphyry copper-gold-moly deposit,First Quantum Minerals LTD,Corriente Argentina S.A.,2546,,Salta,,"It is located in the Puna de Salta, at the central-western end of the Salar de Arizaro, department of Los Andes, 240 km west of the city of Salta and 55 km east of the border with Chile, at 3,600 m.a.s.l.","24° 34' 21"" S","67° 44' 9"" W",-24.5725,-67.735833,,35,Stage 1: 40 Mtpa | Stage 2: 60 Mtpa,,"Stage 1: USD 4,232 M | Stage 2: USD 1,019 M",Open-Pit,Copper and gold concentrates,Gold | molybdenum | Molybdenum,"First Quantum Minerals Ltd., Taca Taca project First Quatum Minerals Ltd. Investor Presentation. January 2026 First Quantum Minerals Ltd. NI 43-101 Technical Report. February 2026 First Quantum. Third Quarter 2025 Financial &amp; Operating Results First Quantum. Annual information form. December 2024",25 | 26 | 27 | 28,,,,,,,,,,,,,,,0.06,263,,,,389,10,0.27,0.007,,,,,0.09,5715,,8716,253,0.42,0.012,,,,,,,,,,,,,,,,,,,0.07,3696.6,,5919,177.6,0.38,0.011,,,0.13,1835.6,,2509.5,66.8,0.58,0.015
Cu PSJ Cobre Mendocino,Copper,Prefeasibility,Copper and gold porphyry,"Zonda Metals GmBH, Grupo Alberdi",Minera San Jorge S.A.,10000,,Mendoza,,"It is located in the department of Las Heras, province of Mendoza, 110 km to the northwest of the city of Mendoza, by National Route No. 7, and whose access door is 37 km from the district of Uspallata, by National Route No. 149. The Project is located at 2,600 meters above sea level.",,,,,2029,16,10 Mt/year,,560 MUSD,Open-Pit,Copper and gold concentrates,Gold | molybdenum,"PSJ Cobre Mendocino Project | PSJ Cobre Mendocino. Environmental impact report, chapter III. Project Description, December 2024 | Government of the Province of Mendoza. E/EIA project ""PSJ Cobre Mendocino""",29 | 30 | 31 | 32,,,,0.18,672,,1501785,,0.42,,,,,,0.14,337,,,592182,,,0.37,,,,,,,,,,,,,,,,0.22,586,,999194,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,
Altar,Copper,PEA,"Porphyry, Supergene Copper","Aldebaran Resources Inc. (80%), Sibanye-Stillwater Limited (20%)",Aldebaran Resources Inc.,8443.7,,San Juan,,"The Altar Project is located in Argentina, within the Province of San Juan, about 10 km from the Argentina-Chile border, and approximately 180 km in direct line west of the city of San Juan. Elevations within the Project area range between 3,100 meters above sea level (masl) and 4,000 masl.","31° 29' 00"" S","70° 28' 00"" W",-31.483333,-70.466667,,48,60.000 tpd,,"1,593 M US",Open-Pit &amp; Underground,Copper concentrate,Gold | silver | Silver,"Aldebaran Resources. Altar project | Aldebaran Resources. The Altar Copper Gold Project, January 2026 | Aldebaran Resources. Technical report estimated mineral resources. Altar project, San Juan province, Argentina, December 2024. | Canadian National instrument NI-43-101 Technical Report – Altar PEA (2023)",33 | 34 | 35 | 36,68,1.31,2.8,0.05,,14657,,,0.41,,49,1.25,,1.7,0.04,,,9.832,,,,0.37,,,,,,,,,,,,,25.8,1.03,2.3,0.09,,7854,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
