project_name,primary_commodity,status,deposit_type,owner_controller,operator,area_ha,resources_year,location.province,location.country,location.description,location.latitude_dms,location.longitude_dms,location.latitude,location.longitude,technical_economic.since_production,technical_economic.estimated_lom_years,technical_economic.productive_capacity,technical_economic.estimated_annual_production,technical_economic.capex,technical_economic.mining_method,technical_economic.product,by_products,sources_consulted,source_pages,res_Indicated_Ag_g_l,res_Indicated_Ag_g_t,res_Indicated_Ag_kOz,res_Indicated_Au_g_t,res_Indicated_Au_kOz,res_Indicated_Cu_MLbs,res_Indicated_Pb_MLbs,res_Indicated_Zn_MLbs,res_Indicated_pct_Cu,res_Indicated_pct_Pb,res_Indicated_pct_Zn,res_Inferred_Ag_g_l,res_Inferred_Ag_g_t,res_Inferred_Ag_kOz,res_Inferred_Au_g_t,res_Inferred_Au_kOz,res_Inferred_Cu_MLbs,res_Inferred_Pb_MLbs,res_Inferred_Zn_MLbs,res_Inferred_pct_Cu,res_Inferred_pct_Pb,res_Inferred_pct_Zn,res_M&I_Ag_g_t,res_M&I_Ag_kOz,res_M&I_Au_g_t,res_M&I_Au_kOz,res_Measured_Ag_g_l,res_Measured_Ag_g_t,res_Measured_Ag_kOz,res_Measured_Au_g_t,res_Measured_Au_kOz,res_Measured_Cu_MLbs,res_Measured_Pb_MLbs,res_Measured_Zn_MLbs,res_Measured_pct_Cu,res_Measured_pct_Pb,res_Measured_pct_Zn,rsv_Probable_Ag_g_t,rsv_Probable_Ag_kOz,rsv_Probable_Au_g_t,rsv_Probable_Au_kOz,rsv_Probable_Pb_MLbs,rsv_Probable_Zn_MLbs,rsv_Probable_pct_Pb,rsv_Probable_pct_Zn,rsv_Proven_Ag_g_t,rsv_Proven_Ag_kOz,rsv_Proven_Au_g_t,rsv_Proven_Au_kOz,rsv_Proven_Pb_MLbs,rsv_Proven_Zn_MLbs,rsv_Proven_pct_Pb,rsv_Proven_pct_Zn
La Providencia,Silver,Operation,Sulphidation Epithermal Style,Hanaq Group. / Hanaq Argentina S.A.,Hanaq Group. / Hanaq Argentina S.A.,1600.18,,Jujuy,,"The Providencia Project is located in the Puna region, between 4,000 and 4,500 meters above sea level, in the Susques Department, Province of Jujuy.","23° 15' 41"" S",,-23.261389,,2025,8,500 tpd,,10 M USD,Open pit,Silver and copper concentrate,Lead-copper-zinc,"HANAQ Group. Providencia Project | SEGEMAR | Report Control Form. NI 43-101 Repor. Technical Report on the Providencia Silver Project, Jujuy province, Argentina.",6 | 7 | 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puna Operation,Silver,Operation,Sulphidation Epithermal Style,SSR Mining Inc. / Mina Pirquitas S.A,SSR Mining Inc. / Mina Pirquitas S.A,9742,,Jujuy,,"The Puna Operations are comprised of the Chinchillas mine and the Pirquitas property, which includes the Pirquitas processing facilities. The project is located in the Rinconada department, in the Jujuy province.",,,,,1997,2,"5,000 tpd processing capacity",,,Open pit,"Silver, lead and zinc concentrate",Lead-copper-zinc | Lead | Zinc,"SSR Mining Inc. Puna Project | SSR Mining Inc. Technical Report Summary on the Puna Operations, Argentina. February 2024 | SSR Mining Inc. Resources and Reserves 2024",9 | 10 | 11 | 12,,147.22,17985,,,,46.9,156.1,,0.94,2.02,,157.15,8566,,,,1.8,212,,1.05,6.88,,,,,,239,17959,,,,22.7,185,,1.12,3.85,141.3,15588,,,110.8,13.5,11.17,0.18,145.25,3940,,,22.1,3.3,1.19,0.181
San José,Silver,Operation,Low Sulphidation Epithermal Style,Hochschild Mining Plc (51%) McEwen Mining Inc. (49%) / Minera Santa Cruz S.A.,Hochschild Mining Plc (51%) McEwen Mining Inc. (49%) / Minera Santa Cruz S.A.,50491,,Santa Cruz,,The San José project is located the Santa Cruz province. The mine is situated 350 kilometers southwest of Comodoro Rivadavia. In production since 2007.,,,,,2007,3.5,1.650 tpd,,,Underground,Concentrate and doré,Gold,"McEwen Mining. San Jose Project Hochs Child. San Jose Project McEwen Mining Inc. Technical Report on the San José silver-gold mine Santa Cruz, Argentina. August 15, 2014. McEwen Mining Inc. AU &amp; AG production enhancing productivity developing large cu asset significant insider ownership. December 12, 2024 Hochs Child. Resources and Reserves",13 | 14 | 15 | 16,,269,6100,5.53,125.7,,,,,,,,252,9500,4.59,171.8,,,,,,,,,,,,412,12600,6.66,204.2,,,,,,,272,2000,5.5,39.7,,,,,295,3400,4.72,54.1,,,,
Diablillos,Silver,Feasibility,High Sulphidation Epithermal Style,AbraSilver Resource Corp. / Abra Plata Argentina S.A.,AbraSilver Resource Corp. / Abra Plata Argentina S.A.,7919,,Catamarca,,"The Diablillos property is located in the high Puna and Altiplano region of north-western Argentina. It is approximately 160 km southwest of the city of Salta and 375 km northwest of the city of Catamarca, along the border between the Provinces of Salta and Catamarca, Argentina.","25° 18' 00"" S","66° 50' 00"" W",-25.3,-66.833333,2029,28,9000 tpd,,620 M USD,Open pit,Concentrate and doré,Gold,"AbraSilver Source Corp. Diablillos Project | AbraSilver Source Corp. NI 43-101 Technical Report, Mineral Resource Estimate for the Diablillos Au-Ag Project, Salta &amp; Catamarca Provinces, Argentina. Date: September 12, 2025.",17 | 18 | 19 | 20,,,,,,,,,,,,,21,13427,0.38,241,,,,,,,59,198643,0.51,1715,,,,,,,,,,,,80,76684,0.8,766,,,,,118,46796,0.86,341,,,,
El Quevar,Silver,PEA,High Sulphidation Epithermal Style,Argenta Silver Corp. / SILEX Argentina S.A.,Argenta Silver Corp. / SILEX Argentina S.A.,56700,,Salta,,"The project is located in the department of Los Andes, at 4,800 m.a.s.l, about 300 km NW of the city of Salta. It can be accessed from Salta city through RN 51 to the detour with RP 27, continuing for 30 km.","24° 20' 08"" S","66° 46' 57"" W",-24.335556,-66.7825,2029,28,1200 tpd,,96.8 M USD,Underground,Silver concentrate,Lead-copper-zinc,"Argenta Silver Corp. El Quevar Project | Argenta Silver Corp. NI 43-101 Technical Report on the Mineral Resource Estimate of the El Quevar Project Salta Province, Argentina. September 30, 2024",21 | 22 | 23 | 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navidad,Silver,PEA,Intermediate Sulphidation Epithermal Style,Pan American Silver Corp. / Minera Argenta S.A.,Pan American Silver Corp. / Minera Argenta S.A.,10000,,Chubut,,"The Navidad Project is located about 35 km from the town of Gastre, in the department of the same name, in the north of the province of Chubut.","42° 24' 54"" S","68° 49' 12"" W",-42.415,-68.82,,17,15000 tpd,,760 M USD,Open pit,Silver concentrate,Lead-copper | Lead | Copper,"Pan American Silver Corp. Navidad Project | Pan American Silver. Reports Mineral Reserves and Mineral Resources as at June 30, 2024 | Pan America Silver Corp. Navidad Project, Chubut Province, Argentina: Preliminary Assessment, January 14, 2010",25 | 26 | 27 | 28,126,,565000,,,123,2434,,0.04,0.79,,81,,119000,,,22,580,,0.02,0.57,,,,,,137,,67000,,,34,489,,0.1,1.44,,,,,,,,,,,,,,,,,
