project_name,primary_commodity,status,deposit_type,owner_controller,operator,area_ha,resources_year,location.province,location.country,location.description,location.latitude_dms,location.longitude_dms,location.latitude,location.longitude,technical_economic.since_production,technical_economic.estimated_lom_years,technical_economic.productive_capacity,technical_economic.estimated_annual_production,technical_economic.capex,technical_economic.mining_method,technical_economic.product,by_products,sources_consulted,source_pages,res_Indicated_U3O8_MLbs,res_Indicated_V2O5_MLbs,res_Indicated_V2O5_ppm,res_Indicated_pct_U3O8,res_Indicated_pct_V2O5,res_Inferred_U3O8_MLbs,res_Inferred_Uranium_t,res_Inferred_V2O5_MLbs,res_Inferred_V2O5_ppm,res_Inferred_pct_U3O8,res_Inferred_pct_V2O5,res_RAR_Uranium_t
Don Otto,Uranium,Feasibility,Sandstone-hosted uranium deposits,National Atomic Energy Commission (CNEA),National Atomic Energy Commission (CNEA),7.5,,Salta,,"The Don Otto mine is part of the former Tonco-Amblayo uranium district. The Don Otto mine is located in the San Carlos department, Salta province, about 150 kilometers southwest of the Salta city.","25° 36' 39.60"" S","65° 55' 37.20"" W",-25.611,-65.927,,8,30 tonnes per day (tpd),,,Underground,Calcium uranium concentrate,Vanadium,"National Atomic Energy Commission, Uranium in Argentina: Exploration, Resources, Demand and Supply. November 22, 2024. | International Atomic Energy Agency, Nuclear Energy Agency. Uranium 2024, Resources, Production and Demand. | Gorustovich, S., Guidi, F., Bárbaro N., Nievas H. 2013. Geological and environmental observations in the sunchales ravine and the tonco river, Don Otto uranium mine, Salta province.",5 | 6 | 7,,,,,,,250,,,,,180
Sierra Pintada,Uranium,,,,,,,Mendoza,,"The project is located in the San Rafael department, Mendoza province, approximately 11 km southwest of the town of 25 de Mayo, 38 km west of the city of San Rafael and 240 km south of the city of Mendoza.","34° 35' 54.96"" S","68° 32' 26.59"" W",-34.5986,-68.540719,,8,120 tpa,,,Open pit,Uranium concentrate,,"National Atomic Energy Commission, Uranium in Argentina: Exploration, Resources, Demand and Supply. November 22, 2024. | International Atomic Energy Agency, Nuclear Energy Agency. Uranium 2024, Resources, Production and Demand. | SEGEMAR. Proyecto Fabril Minero. ""Sierra Pintada"". November, 1975 | Aldonate, M, Ávila, J., Gallucci A. Mining Geology of the San Rafael Mining Factory Complex with emphasis on the characterization of marginal mineral stockpiles. December, 2016.",8 | 9 | 10,,,,,,,6110,,,,,3900
Ivana,Uranium,Preliminary Economic Assessments,Sandstone-hosted uranium deposits,Blue Sky Uranium Corp.,Ivana Minerales S.A.,7000,,Río Negro,,"The Ivana deposit is located about 25 km north of the town of Valcheta, in a sparsely populated, semi-arid area of flat topography. The Amarillo Grande Project, located across the north-central part of Rio Negro Province, Argentina. It covers the Anit, Ivana and Santa Bárbara projects.",,,,,,11,1.5 Mlbs/y U₃O₈,,"159,7 MUSD",Open pit,Uranium concentrate,Vanadium,"Blue Sky Uranium Corp. Ivana Project | Blue Sky Uranium Corp. NI 43-101 Technical Report Preliminary Economic Assessment Update for the Ivana Uranium-Vanadium Deposit, Amarillo Grande Project. Rio Negro Province, Argentina. April 2, 2024. | Blue Sky Uranium Corp. Corporate Presentation. January 2026",11 | 12 | 13,17,8.1,,0.039,0.019,3.8,,2.4,,0.031,0.019,
Laguna Salada,Uranium,Preliminary Economic Assessments,Sedimentary Mineralized Gravels,Jaguar Uranium Corp.,Jaguar Uranium Corp.,173315,,Chubut,,"The property is located about 270 kilometers southwest of the provincial capital, Rawson and approximately 230 kilometers from the city of Comodoro Rivadavia.","44° 17' 43.53"" S","67° 13' 0.51"" W",-44.295425,-67.216808,,10,0.64 Mlbs Uranium / 1 Mlbs Vanadium,,"135,7 MUSD",Open-Pit,Uranium concentrate,Vanadium,"IsoEnergy Ltd. Laguna Salada Project | U3O8 Corp. Preliminary Economic Assessment of the Laguna Salada Uranium-Vanadium Deposit, Chubut Province, Argentina. September 8, 2014",14 | 15 | 16,6.3,57.1,550,0.01,,3.8,,26.9,590,0.01,,
